"","external_gene_name","ensembl_gene_id","ensembl_gene_id_version","chromosome_name","start_position","end_position"
"42","INTS3","ENSG00000262826","ENSG00000262826.5","1",153745298,153792039
"45","LINC01115","ENSG00000281362","ENSG00000281362.1","2",784657,859032
"46","KIR2DL3","ENSG00000273947","ENSG00000273947.5","19",54738538,54753053
"48","LILRP2","ENSG00000274861","ENSG00000274861.4","19",54707916,54713453
"49","KIR2DL4","ENSG00000276779","ENSG00000276779.1","19",54803599,54814548
"51","LINC02109","ENSG00000274882","ENSG00000274882.4","5",29152383,29181238
"52","LILRP1","ENSG00000274339","ENSG00000274339.1","19",54700593,54700905
"53","KIR3DL2","ENSG00000273735","ENSG00000273735.4","19",54864204,54872914
"54","KIR2DL1","ENSG00000276820","ENSG00000276820.1","19",54813971,54828213
"55","KIR3DL1","ENSG00000273775","ENSG00000273775.5","19",54816442,54830745
"56","KIR2DS3","ENSG00000278306","ENSG00000278306.1","19",54782354,54796789
"57","KIR2DS4","ENSG00000274324","ENSG00000274324.1","19",54877320,54892899
"58","KIR3DL3","ENSG00000276433","ENSG00000276433.1","19",54724498,54736060
"59","KIR2DL4","ENSG00000275732","ENSG00000275732.4","19",54847612,54858688
"62","KIR2DL2","ENSG00000278731","ENSG00000278731.5","19",54754673,54769220
"63","LILRP1","ENSG00000277921","ENSG00000277921.1","19",54700593,54700905
"64","KIR2DL3","ENSG00000277554","ENSG00000277554.5","19",54738470,54752993
"65","KIR3DL3","ENSG00000277620","ENSG00000277620.1","19",54724450,54736092
"67","KIR2DL4","ENSG00000278074","ENSG00000278074.1","19",54803565,54814279
"68","KIR3DL1","ENSG00000277272","ENSG00000277272.5","19",54816451,54830756
"69","KIR2DL4","ENSG00000276044","ENSG00000276044.4","19",54833799,54844782
"70","KIR2DL4","ENSG00000277355","ENSG00000277355.4","19",54789806,54800882
"71","KIR2DS4","ENSG00000274714","ENSG00000274714.1","19",54819131,54834528
"72","KIR2DS4","ENSG00000274807","ENSG00000274807.4","19",54832788,54848156
"73","PCMTD2","ENSG00000280663","ENSG00000280663.4","20",64259386,64278487
"74","NCR1","ENSG00000277334","ENSG00000277334.4","19",54892528,54896443
"75","KIR3DL1","ENSG00000276379","ENSG00000276379.1","19",54816496,54820397
"76","LILRP2","ENSG00000275442","ENSG00000275442.4","19",54707916,54713453
"77","KIR3DP1","ENSG00000276518","ENSG00000276518.1","19",54771247,54784650
"78","KIR2DS2","ENSG00000278152","ENSG00000278152.2","19",54738439,54769215
"79","KIR2DL3","ENSG00000277484","ENSG00000277484.5","19",54738471,54753005
"80","KIR2DL4","ENSG00000273575","ENSG00000273575.4","19",54803379,54814527
"81","KIR2DL1","ENSG00000273510","ENSG00000273510.1","19",54769838,54784324
"82","KIR2DL4","ENSG00000275237","ENSG00000275237.4","19",54789912,54800893
"83","KIR3DP1","ENSG00000275751","ENSG00000275751.4","19",54786398,54798220
"84","FCAR","ENSG00000276858","ENSG00000276858.4","19",54874219,54890443
"85","KIR2DL1","ENSG00000277616","ENSG00000277616.1","19",54814388,54828892
"86","KIR3DL1","ENSG00000275717","ENSG00000275717.5","19",54816473,54830785
"87","OPRL1","ENSG00000277044","ENSG00000277044.3","20",64097802,64100643
"88","LILRP1","ENSG00000273670","ENSG00000273670.1","19",54700593,54700905
"89","KIR2DL2","ENSG00000277251","ENSG00000277251.5","19",54754680,54769221
"90","KIR2DP1","ENSG00000274476","ENSG00000274476.1","19",54754923,54767817
"91","NPBWR2","ENSG00000277339","ENSG00000277339.2","20",64105820,64107171
"93","KIR2DL4","ENSG00000278606","ENSG00000278606.4","19",54803296,54814484
"95","MYT1","ENSG00000276876","ENSG00000276876.4","20",64155437,64245898
"96","KIR3DL1","ENSG00000276501","ENSG00000276501.5","19",54861074,54875379
"97","KIR3DL3","ENSG00000276328","ENSG00000276328.1","19",54724453,54736091
"98","LILRP2","ENSG00000273755","ENSG00000273755.4","19",54707916,54713341
"102","KIR2DL2","ENSG00000275407","ENSG00000275407.1","19",54754722,54769049
"103","GEMIN2P1","ENSG00000262767","ENSG00000262767.1","1",153713833,153714877
"104","GATAD2B","ENSG00000261992","ENSG00000261992.2","1",153821956,153845579
"105","KIR2DL1","ENSG00000278805","ENSG00000278805.1","19",54814475,54828769
"106","KIR2DL1","ENSG00000274692","ENSG00000274692.1","19",54769275,54783790
"107","KIR2DS4","ENSG00000277345","ENSG00000277345.1","19",54877376,54892982
"108","KIR3DL2","ENSG00000276424","ENSG00000276424.4","19",54895138,54911932
"109","KRT20","ENSG00000263057","ENSG00000263057.2","17",40875941,40885227
"110","KIR2DS4","ENSG00000273526","ENSG00000273526.1","19",54832771,54848624
"111","KIR3DL3","ENSG00000275062","ENSG00000275062.1","19",54723963,54736023
"112","KIR3DL1","ENSG00000276423","ENSG00000276423.6","19",54802859,54817155
"113","KIR3DL3","ENSG00000275433","ENSG00000275433.1","19",54726054,54736537
"114","KRTAP3-1","ENSG00000262068","ENSG00000262068.3","17",41008648,41019451
"115","FCAR","ENSG00000273738","ENSG00000273738.4","19",54874290,54891462
"116","KIR3DP1","ENSG00000278786","ENSG00000278786.4","19",54786474,54798295
"117","KRTAP3-2","ENSG00000263296","ENSG00000263296.2","17",40999320,41000021
"118","KIR3DL1","ENSG00000274948","ENSG00000274948.5","19",54816448,54830767
"119","KRTAP4-9","ENSG00000262121","ENSG00000262121.2","17",41105751,41106907
"121","SLC27A3","ENSG00000263163","ENSG00000263163.5","1",153791585,153797388
"122","DNAH10","ENSG00000281935","ENSG00000281935.1","12",123826687,123935766
"123","KRTAP2-4","ENSG00000263091","ENSG00000263091.2","17",41065346,41066109
"124","KIR2DS4","ENSG00000276885","ENSG00000276885.1","19",54832710,54847746
"126","KIR3DL3","ENSG00000274696","ENSG00000274696.2","19",54724453,54767462
"127","KIR3DP1","ENSG00000274163","ENSG00000274163.1","19",54786260,54790260
"128","LILRP2","ENSG00000274842","ENSG00000274842.4","19",54707916,54713453
"129","KRT23","ENSG00000263309","ENSG00000263309.6","17",40922696,40937634
"130","KIR3DL1","ENSG00000275786","ENSG00000275786.5","19",54816499,54830812
"131","KIR3DP1","ENSG00000277835","ENSG00000277835.4","19",54830630,54842447
"132","LILRP1","ENSG00000277070","ENSG00000277070.1","19",54698377,54701106
"133","KIR3DL1","ENSG00000278427","ENSG00000278427.5","19",54802842,54817184
"134","KIR2DS4","ENSG00000274406","ENSG00000274406.1","19",54832654,54848284
"135","KIR2DS5","ENSG00000276676","ENSG00000276676.5","19",54782658,54797195
"136","FCAR","ENSG00000276985","ENSG00000276985.4","19",54945648,54961872
"137","KIR2DS4","ENSG00000277078","ENSG00000277078.1","19",54863003,54878657
"138","KIR2DP1","ENSG00000277376","ENSG00000277376.1","19",54799680,54812030
"139","KIR2DL1","ENSG00000275276","ENSG00000275276.1","19",54769704,54783960
"140","KIR3DL3","ENSG00000276084","ENSG00000276084.1","19",54724447,54736085
"141","KIR2DS2","ENSG00000276258","ENSG00000276258.1","19",54738568,54752475
"142","KIR3DL1","ENSG00000275659","ENSG00000275659.5","19",54814901,54878560
"143","KIR2DL5B","ENSG00000275946","ENSG00000275946.5","19",54771241,54780725
"144","KIR2DL4","ENSG00000274189","ENSG00000274189.4","19",54848193,54859216
"145","LILRP2","ENSG00000277267","ENSG00000277267.4","19",54707916,54713453
"146","KIR3DL2","ENSG00000277982","ENSG00000277982.4","19",54877123,54893917
"147","KIR3DS1","ENSG00000276534","ENSG00000276534.5","19",54802839,54817200
"148","LILRP2","ENSG00000274120","ENSG00000274120.4","19",54707916,54713453
"149","KIR2DS2","ENSG00000276425","ENSG00000276425.1","19",54738476,54752501
"150","KIR2DS1","ENSG00000275421","ENSG00000275421.1","19",54847678,54861692
"151","KIR2DS3","ENSG00000275047","ENSG00000275047.1","19",54830927,54845947
"153","KIR3DL3","ENSG00000275172","ENSG00000275172.1","19",54724485,54736504
"154","KIR2DL1","ENSG00000275080","ENSG00000275080.5","19",54798381,54812886
"155","KIR3DL2","ENSG00000275511","ENSG00000275511.4","19",54864251,54881045
"156","LILRP1","ENSG00000275112","ENSG00000275112.1","19",54700593,54700905
"157","KIR2DS2","ENSG00000274518","ENSG00000274518.1","19",54738519,54752638
