named.index	unique.index	external_gene_name	ensembl_gene_id	ensembl_gene_id_version	chromosome_name	start_position	end_position	ensembl_transcript_id	external_gene_source	gene_biotype	external_synonym	hgnc_symbol
5S_rRNA	ENSG00000285609	5S_rRNA	ENSG00000285609	ENSG00000285609.1	chr1	182944365	182944490	ENST00000648701	RFAM	rRNA_pseudogene		
5S_rRNA	ENSG00000285626	5S_rRNA	ENSG00000285626	ENSG00000285626.1	chr2	11561661	11561779	ENST00000649180	RFAM	rRNA_pseudogene		
5S_rRNA	ENSG00000285674	5S_rRNA	ENSG00000285674	ENSG00000285674.1	chr19	7886977	7887096	ENST00000648813	RFAM	rRNA_pseudogene		
5S_rRNA	ENSG00000285776	5S_rRNA	ENSG00000285776	ENSG00000285776.1	chrX	69672479	69672597	ENST00000647846	RFAM	rRNA_pseudogene		
5S_rRNA	ENSG00000285912	5S_rRNA	ENSG00000285912	ENSG00000285912.1	chr7	152592973	152593091	ENST00000650361	RFAM	rRNA_pseudogene		
5S_rRNA	ENSG00000288601	5S_rRNA	ENSG00000288601	ENSG00000288601.1	chr16	47450347	47450461	ENST00000674448	RFAM	rRNA_pseudogene		
A2MP1	A2MP1	A2MP1	ENSG00000256069	ENSG00000256069.8	chr12	9229376	9275817	ENST00000566278	HGNC Symbol	transcribed_unprocessed_pseudogene	A2MP	A2MP1
AACSP1	AACSP1	AACSP1	ENSG00000250420	ENSG00000250420.9	chr5	178767204	178797611	ENST00000521412	HGNC Symbol	transcribed_unprocessed_pseudogene	AACSL	AACSP1
AADACP1	AADACP1	AADACP1	ENSG00000240602	ENSG00000240602.10	chr3	151770474	151784421	ENST00000561502	HGNC Symbol	transcribed_unprocessed_pseudogene		AADACP1
AARS1P1	AARS1P1	AARS1P1	ENSG00000249038	ENSG00000249038.2	chr4	132592084	132592536	ENST00000514795	HGNC Symbol	processed_pseudogene	AARSP1	AARS1P1
AARSD1P1	AARSD1P1	AARSD1P1	ENSG00000234969	ENSG00000234969.1	chrX	74069276	74070832	ENST00000413508	HGNC Symbol	transcribed_processed_pseudogene		AARSD1P1
ABCA11P	ABCA11P	ABCA11P	ENSG00000251595	ENSG00000251595.8	chr4	425773	427882	ENST00000504019	HGNC Symbol	transcribed_processed_pseudogene	ABCA11	ABCA11P
ABCA15P	ABCA15P	ABCA15P	ENSG00000189149	ENSG00000189149.13	chr16	21315911	21339037	ENST00000637983	HGNC Symbol	transcribed_unitary_pseudogene	CRYM-AS1	ABCA15P
ABCA17P	ABCA17P	ABCA17P	ENSG00000238098	ENSG00000238098.10	chr16	2361144	2425685	ENST00000494925	HGNC Symbol	transcribed_unitary_pseudogene		ABCA17P
ABCA3P1	ABCA3P1	ABCA3P1	ENSG00000257408	ENSG00000257408.3	chr16	21938865	21944958	ENST00000550410	HGNC Symbol	transcribed_unprocessed_pseudogene		ABCA3P1
ABCB10P1	ABCB10P1	ABCB10P1	ENSG00000274099	ENSG00000274099.1	chr15	23179869	23182049	ENST00000614297	HGNC Symbol	processed_pseudogene	ABCB10P	ABCB10P1
ABCB10P3	ABCB10P3	ABCB10P3	ENSG00000261524	ENSG00000261524.1	chr15	28402868	28405033	ENST00000561950	HGNC Symbol	processed_pseudogene		ABCB10P3
ABCB10P4	ABCB10P4	ABCB10P4	ENSG00000260053	ENSG00000260053.2	chr15	28506625	28508808	ENST00000566803	HGNC Symbol	processed_pseudogene		ABCB10P4
ABCC13	ABCC13	ABCC13	ENSG00000243064	ENSG00000243064.11	chr21	14274092	14362754	ENST00000463099	HGNC Symbol	transcribed_unprocessed_pseudogene	ABCC13P	ABCC13
ABCC6P1	ABCC6P1	ABCC6P1	ENSG00000256340	ENSG00000256340.11	chr16	18571276	18592716	ENST00000565566	HGNC Symbol	transcribed_unprocessed_pseudogene		ABCC6P1
ABCC6P2	ABCC6P2	ABCC6P2	ENSG00000255277	ENSG00000255277.4	chr16	14820792	14824669	ENST00000526069	HGNC Symbol	transcribed_unprocessed_pseudogene		ABCC6P2
ABCD1P2	ABCD1P2	ABCD1P2	ENSG00000215151	ENSG00000215151.4	chr10	38601418	38605609	ENST00000429313	HGNC Symbol	unprocessed_pseudogene	BA453N3.6	ABCD1P2
ABCD1P3	ABCD1P3	ABCD1P3	ENSG00000261233	ENSG00000261233.2	chr16	32475051	32478250	ENST00000562927	HGNC Symbol	unprocessed_pseudogene		ABCD1P3
ABCD1P4	ABCD1P4	ABCD1P4	ENSG00000225293	ENSG00000225293.1	chr22	16387694	16390887	ENST00000399687	HGNC Symbol	unprocessed_pseudogene		ABCD1P4
ABCD1P5	ABCD1P5	ABCD1P5	ENSG00000214330	ENSG00000214330.4	chr2	91840601	91843802	ENST00000445663	HGNC Symbol	unprocessed_pseudogene		ABCD1P5
ABCF2P1	ABCF2P1	ABCF2P1	ENSG00000242159	ENSG00000242159.1	chr3	88317156	88319022	ENST00000465687	HGNC Symbol	processed_pseudogene		ABCF2P1
ABCF2P2	ABCF2P2	ABCF2P2	ENSG00000228769	ENSG00000228769.1	chr7	72103181	72104209	ENST00000450549	HGNC Symbol	unprocessed_pseudogene		ABCF2P2
ABHD17AP1	ABHD17AP1	ABHD17AP1	ENSG00000198658	ENSG00000198658.4	chr1	148146395	148149566	ENST00000358206	HGNC Symbol	unprocessed_pseudogene	ABHD17AP2	ABHD17AP1
ABHD17AP3	ABHD17AP3	ABHD17AP3	ENSG00000250536	ENSG00000250536.1	chr1	214605470	214608840	ENST00000503096	HGNC Symbol	transcribed_unprocessed_pseudogene	FAM108A4	ABHD17AP3
ABHD17AP4	ABHD17AP4	ABHD17AP4	ENSG00000229107	ENSG00000229107.2	chr22	20667836	20670984	ENST00000411545	HGNC Symbol	processed_pseudogene	FAM108A5	ABHD17AP4
ABHD17AP5	ABHD17AP5	ABHD17AP5	ENSG00000263366	ENSG00000263366.2	chr22	22114844	22118005	ENST00000580133	HGNC Symbol	processed_pseudogene	FAM108A6	ABHD17AP5
ABHD17AP6	ABHD17AP6	ABHD17AP6	ENSG00000226981	ENSG00000226981.2	chr17	20814620	20844257	ENST00000458502	HGNC Symbol	transcribed_unprocessed_pseudogene	FAM108A7P	ABHD17AP6
ABHD17AP7	ABHD17AP7	ABHD17AP7	ENSG00000260864	ENSG00000260864.1	chr16	32726615	32729537	ENST00000569060	HGNC Symbol	unprocessed_pseudogene	FAM108A8P	ABHD17AP7
ABHD17AP8	ABHD17AP8	ABHD17AP8	ENSG00000260540	ENSG00000260540.2	chr16	32199902	32202822	ENST00000569698	HGNC Symbol	unprocessed_pseudogene	FAM108A9P	ABHD17AP8
ABHD17AP9	ABHD17AP9	ABHD17AP9	ENSG00000261536	ENSG00000261536.2	chr16	33140850	33143797	ENST00000561925	HGNC Symbol	unprocessed_pseudogene	FAM108A10P	ABHD17AP9
