named.index	unique.index	external_gene_name	ensembl_gene_id	ensembl_gene_id_version	chromosome_name	start_position	end_position	ensembl_transcript_id	external_gene_source	gene_biotype	external_synonym	hgnc_symbol	strand
16.1	16.1	IGLL3P	ENSG00000206066	ENSG00000206066.3	chr22	25318256	25320080	ENST00000412472	HGNC_Symbol	transcribed_unprocessed_pseudogene	16.1	IGLL3P	1
1700024P04RIK	1700024P04RIK	H2BL1P	ENSG00000223497	ENSG00000223497.1	chr5	72733833	72734209	ENST00000415539	HGNC_Symbol	unitary_pseudogene	1700024P04RIK	H2BL1P	1
28H	28H	HMGN2P11	ENSG00000232605	ENSG00000232605.2	chr7	84876554	84876956	ENST00000446054	HGNC_Symbol	processed_pseudogene	28H	HMGN2P11	1
354J5	354J5	ZPR1P1	ENSG00000219565	ENSG00000219565.3	chr6	108785689	108787053	ENST00000407656	HGNC_Symbol	transcribed_processed_pseudogene	354J5	ZPR1P1	-1
4F-SE9[6:7:8]	4F-SE9[6:7:8]	CYP4F30P	ENSG00000214081	ENSG00000214081.9	chr2	130681229	130681955	ENST00000420048	HGNC_Symbol	transcribed_unprocessed_pseudogene	4F-SE9[6:7:8]	CYP4F30P	1
5-HT5B	5-HT5B	HTR5BP	ENSG00000125631	ENSG00000125631.8	chr2	117859427	117903338	ENST00000430851	HGNC_Symbol	transcribed_unprocessed_pseudogene	5-HT5B	HTR5BP	1
71-7A2	71-7A2	OFD1P18Y	ENSG00000235511	ENSG00000235511.1	chrY	25871931	25898653	ENST00000420889	HGNC_Symbol	unprocessed_pseudogene	71-7A2	OFD1P18Y	-1
71-7A3	71-7A3	OFD1P17	ENSG00000228212	ENSG00000228212.1	chr5	37209364	37212381	ENST00000437639	HGNC_Symbol	processed_pseudogene	71-7A3	OFD1P17	1
71-7A5	71-7A5	OFD1P17	ENSG00000228212	ENSG00000228212.1	chr5	37209364	37212381	ENST00000437639	HGNC_Symbol	processed_pseudogene	71-7A5	OFD1P17	1
A6PS1	A6PS1	TWF1P1	ENSG00000178082	ENSG00000178082.6	chr17	29203426	29204474	ENST00000580812	HGNC_Symbol	processed_pseudogene	A6PS1	TWF1P1	-1
A6PS2	A6PS2	TWF1P2	ENSG00000225008	ENSG00000225008.1	chrX	155290360	155291353	ENST00000426370	HGNC_Symbol	processed_pseudogene	A6PS2	TWF1P2	-1
AACP	AACP	NATP	ENSG00000253937	ENSG00000253937.1	chr8	18370607	18371484	ENST00000523491	HGNC_Symbol	unprocessed_pseudogene	AACP	NATP	1
AB023060.6	AB023060.6	POLR2LP1	ENSG00000238211	ENSG00000238211.1	chr6	31140727	31140913	ENST00000444785	HGNC_Symbol	processed_pseudogene	AB023060.6	POLR2LP1	1
ABCA11	ABCA11	ABCA11P	ENSG00000251595	ENSG00000251595.8	chr4	425773	427882	ENST00000504019	HGNC_Symbol	transcribed_processed_pseudogene	ABCA11	ABCA11P	-1
ABCB10P	ABCB10P	ABCB10P1	ENSG00000274099	ENSG00000274099.1	chr15	23179869	23182049	ENST00000614297	HGNC_Symbol	processed_pseudogene	ABCB10P	ABCB10P1	1
ABCB10P2	ABCB10P2	ABCB10P1	ENSG00000274099	ENSG00000274099.1	chr15	23179869	23182049	ENST00000614297	HGNC_Symbol	processed_pseudogene	ABCB10P2	ABCB10P1	1
ABCC13P	ABCC13P	ABCC13	ENSG00000243064	ENSG00000243064.11	chr21	14274092	14362754	ENST00000463099	HGNC_Symbol	transcribed_unprocessed_pseudogene	ABCC13P	ABCC13	1
ABHD11-AS1	ABHD11-AS1	BICDL3P	ENSG00000225969	ENSG00000225969.4	chr7	73735407	73736073	ENST00000641969	HGNC_Symbol	transcribed_unitary_pseudogene	ABHD11-AS1	BICDL3P	1
ABHD17AP2	ABHD17AP2	ABHD17AP1	ENSG00000198658	ENSG00000198658.4	chr1	148146395	148149566	ENST00000358206	HGNC_Symbol	unprocessed_pseudogene	ABHD17AP2	ABHD17AP1	1
ABI1P	ABI1P	ABI1P1	ENSG00000271484	ENSG00000271484.1	chr14	55546674	55548123	ENST00000603375	HGNC_Symbol	unprocessed_pseudogene	ABI1P	ABI1P1	1
AC012044.5	AC012044.5	FAM25EP	ENSG00000231122	ENSG00000231122.6	chr10	45815486	45817249	ENST00000608562	HGNC_Symbol	transcribed_unprocessed_pseudogene	AC012044.5	FAM25EP	-1
AC022026.3	AC022026.3	RPSAP6	ENSG00000214629	ENSG00000214629.3	chr10	74371535	74372416	ENST00000417882	HGNC_Symbol	processed_pseudogene	AC022026.3	RPSAP6	1
AC022394.1	AC022394.1	HMGN2P8	ENSG00000212769	ENSG00000212769.5	chr10	84081429	84081995	ENST00000391458	HGNC_Symbol	processed_pseudogene	AC022394.1	HMGN2P8	1
ACT1GP1	ACT1GP1	ACTG1P1	ENSG00000178631	ENSG00000178631.7	chr3	139493809	139494937	ENST00000415794	HGNC_Symbol	transcribed_processed_pseudogene	ACT1GP1	ACTG1P1	1
ACTBL3	ACTBL3	POTEKP	ENSG00000204434	ENSG00000204434.6	chr2	131591752	131628147	ENST00000397487	HGNC_Symbol	transcribed_unprocessed_pseudogene	ACTBL3	POTEKP	1
ACTGP1	ACTGP1	ACTG1P1	ENSG00000178631	ENSG00000178631.7	chr3	139493809	139494937	ENST00000415794	HGNC_Symbol	transcribed_processed_pseudogene	ACTGP1	ACTG1P1	1
ACTGP10	ACTGP10	ACTG1P10	ENSG00000231340	ENSG00000231340.1	chrX	53142832	53143913	ENST00000428275	HGNC_Symbol	processed_pseudogene	ACTGP10	ACTG1P10	-1
ACTGP2	ACTGP2	ACTG1P2	ENSG00000229129	ENSG00000229129.1	chrY	17757001	17758125	ENST00000415776	HGNC_Symbol	processed_pseudogene	ACTGP2	ACTG1P2	-1
ACTL1	ACTL1	ACTG1P10	ENSG00000231340	ENSG00000231340.1	chrX	53142832	53143913	ENST00000428275	HGNC_Symbol	processed_pseudogene	ACTL1	ACTG1P10	-1
ACTL2	ACTL2	ACTG1P2	ENSG00000229129	ENSG00000229129.1	chrY	17757001	17758125	ENST00000415776	HGNC_Symbol	processed_pseudogene	ACTL2	ACTG1P2	-1
ADAM1	ADAM1	ADAM1A	ENSG00000229186	ENSG00000229186.4	chr12	111899263	111901391	ENST00000424240	HGNC_Symbol	unitary_pseudogene	ADAM1	ADAM1A	1
ADAM1P	ADAM1P	ADAM1A	ENSG00000229186	ENSG00000229186.4	chr12	111899263	111901391	ENST00000424240	HGNC_Symbol	unitary_pseudogene	ADAM1P	ADAM1A	1
ADAM3	ADAM3	ADAM3A	ENSG00000197475	ENSG00000197475.12	chr8	39455339	39522810	ENST00000461344	HGNC_Symbol	transcribed_unitary_pseudogene	ADAM3	ADAM3A	-1
ADAM5P	ADAM5P	ADAM5	ENSG00000196115	ENSG00000196115.14	chr8	39314591	39417378	ENST00000399789	HGNC_Symbol	transcribed_unitary_pseudogene	ADAM5P	ADAM5	1
ADGRF2	ADGRF2	ADGRF2P	ENSG00000164393	ENSG00000164393.11	chr6	47673420	47693719	ENST00000507065	HGNC_Symbol	transcribed_unitary_pseudogene	ADGRF2	ADGRF2P	1
ADH5B	ADH5B	ADH5P4	ENSG00000233859	ENSG00000233859.2	chr6	65836930	65838039	ENST00000433151	HGNC_Symbol	processed_pseudogene	ADH5B	ADH5P4	-1
ADLICANP	ADLICANP	MXRA5Y	ENSG00000235649	ENSG00000235649.2	chrY	11957208	11987386	ENST00000420610	HGNC_Symbol	unprocessed_pseudogene	ADLICANP	MXRA5Y	1
ADMLY	ADMLY	ANOS2P	ENSG00000241859	ENSG00000241859.8	chrY	13751656	13915824	ENST00000472227	HGNC_Symbol	transcribed_unprocessed_pseudogene	ADMLY	ANOS2P	1
ADPRTL1P	ADPRTL1P	PARP4P1	ENSG00000237917	ENSG00000237917.1	chrY	26594851	26634652	ENST00000435945	HGNC_Symbol	unprocessed_pseudogene	ADPRTL1P	PARP4P1	-1
ADPRTP1	ADPRTP1	PARP1P1	ENSG00000227105	ENSG00000227105.1	chr13	110936759	110939784	ENST00000413631	HGNC_Symbol	processed_pseudogene	ADPRTP1	PARP1P1	1
ADPRTP2	ADPRTP2	PARP1P2	ENSG00000258995	ENSG00000258995.1	chr14	63123007	63123201	ENST00000556806	HGNC_Symbol	processed_pseudogene	ADPRTP2	PARP1P2	1
ADTB1L1	ADTB1L1	AP1B1P1	ENSG00000234479	ENSG00000234479.3	chr22	32132317	32132507	ENST00000448124	HGNC_Symbol	transcribed_unprocessed_pseudogene	ADTB1L1	AP1B1P1	1
ADTB1L2	ADTB1L2	AP1B1P2	ENSG00000232707	ENSG00000232707.1	chr22	32134028	32134133	ENST00000416196	HGNC_Symbol	unprocessed_pseudogene	ADTB1L2	AP1B1P2	1
ADXP1	ADXP1	FDX1P1	ENSG00000181741	ENSG00000181741.7	chr20	34475924	34476474	ENST00000449115	HGNC_Symbol	processed_pseudogene	ADXP1	FDX1P1	-1
AFG3	AFG3	AFG3L1P	ENSG00000223959	ENSG00000223959.12	chr16	89972631	90000668	ENST00000557444	HGNC_Symbol	transcribed_unitary_pseudogene	AFG3	AFG3L1P	1
AFG3L1	AFG3L1	AFG3L1P	ENSG00000223959	ENSG00000223959.12	chr16	89972631	90000668	ENST00000557444	HGNC_Symbol	transcribed_unitary_pseudogene	AFG3L1	AFG3L1P	1
AGAP10	AGAP10	AGAP10P	ENSG00000230869	ENSG00000230869.1	chr10	45678692	45700532	ENST00000454844	HGNC_Symbol	transcribed_unprocessed_pseudogene	AGAP10	AGAP10P	1
AGAP14	AGAP14	AGAP14P	ENSG00000279058	ENSG00000279058.2	chr10	46337224	46358714	ENST00000624701	HGNC_Symbol	transcribed_unprocessed_pseudogene	AGAP14	AGAP14P	1
AGAP7	AGAP7	AGAP7P	ENSG00000264204	ENSG00000264204.2	chr10	46109621	46131358	ENST00000582299	HGNC_Symbol	transcribed_unprocessed_pseudogene	AGAP7	AGAP7P	1
AGSK1	AGSK1	GOLGA2P10	ENSG00000255769	ENSG00000255769.8	chr15	82476498	82477926	ENST00000550961	HGNC_Symbol	transcribed_unprocessed_pseudogene	AGSK1	GOLGA2P10	-1
AHA1	AHA1	AHSA2P	ENSG00000173209	ENSG00000173209.24	chr2	61177539	61186786	ENST00000489653	HGNC_Symbol	transcribed_unitary_pseudogene	AHA1	AHSA2P	1
AHCTF1P	AHCTF1P	AHCTF1P1	ENSG00000226121	ENSG00000226121.2	chr2	161500885	161507705	ENST00000420969	HGNC_Symbol	processed_pseudogene	AHCTF1P	AHCTF1P1	-1
AHSA2	AHSA2	AHSA2P	ENSG00000173209	ENSG00000173209.24	chr2	61177539	61186786	ENST00000489653	HGNC_Symbol	transcribed_unitary_pseudogene	AHSA2	AHSA2P	1
AKAP16B	AKAP16B	AKAP17BP	ENSG00000214992	ENSG00000214992.6	chrX	119249346	119257667	ENST00000431706	HGNC_Symbol	transcribed_unprocessed_pseudogene	AKAP16B	AKAP17BP	-1
AKAP16BP	AKAP16BP	AKAP17BP	ENSG00000214992	ENSG00000214992.6	chrX	119249346	119257667	ENST00000431706	HGNC_Symbol	transcribed_unprocessed_pseudogene	AKAP16BP	AKAP17BP	-1
AKR1D1P	AKR1D1P	AKR1D1P1	ENSG00000227776	ENSG00000227776.1	chr1	167519536	167520586	ENST00000457236	HGNC_Symbol	processed_pseudogene	AKR1D1P	AKR1D1P1	1
ALDRL3	ALDRL3	AKR1B1P3	ENSG00000213785	ENSG00000213785.3	chr11	16484084	16484671	ENST00000525311	HGNC_Symbol	processed_pseudogene	ALDRL3	AKR1B1P3	-1
ALG1L	ALG1L	ALG1L1P	ENSG00000189366	ENSG00000189366.13	chr3	125929272	125990537	ENST00000611639	HGNC_Symbol	transcribed_unprocessed_pseudogene	ALG1L	ALG1L1P	-1
ALG1L1	ALG1L1	ALG1L1P	ENSG00000189366	ENSG00000189366.13	chr3	125929272	125990537	ENST00000611639	HGNC_Symbol	transcribed_unprocessed_pseudogene	ALG1L1	ALG1L1P	-1
ALMS1L	ALMS1L	ALMS1P1	ENSG00000163016	ENSG00000163016.11	chr2	73671030	73685085	ENST00000428767	HGNC_Symbol	transcribed_unprocessed_pseudogene	ALMS1L	ALMS1P1	1
ALMS1P	ALMS1P	ALMS1P1	ENSG00000163016	ENSG00000163016.11	chr2	73671030	73685085	ENST00000428767	HGNC_Symbol	transcribed_unprocessed_pseudogene	ALMS1P	ALMS1P1	1
